#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
141,"Esukey feat Ismaila Sané","Maajo",2,129,"african electronic","Electronic","Kuru Kuru",2020-04-10,05:01,64,71,15,1,86,0,10,-8,B Minor,4,2020-08-03,0f114mYESlIlBph5iq7TRJ,"Maajo Tropical",10A,,https://i.scdn.co/image/ab67616d00004851c61325c69b73f437ae659b1e
142,"Tunnel Vision","Crack Cloud",9,150,"canadian post-punk, crank wave, egg punk","Rock","Tunnel Vision",2020-06-25,04:37,71,65,0,16,65,0,0,-7,C♯/D♭ Minor,4,2020-08-04,4gt7pnacuCWYQ7pVTXc7H1,"Meat Machine",12A,https://p.scdn.co/mp3-preview/d7af11b3d30663906945c35a4de1a5024bad1edd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485198512225444b9e8aa49ba608
143,"Handsome Wife","Pillow Queens",9,124,"dublin indie, irish indie rock","Rock","Handsome Wife",2020-06-12,04:13,42,77,0,1,58,0,20,-6,C Major,4,2020-08-05,2YfaFXnPDMWqzkk2hSSC7j,"Pillow Queens",8B,https://p.scdn.co/mp3-preview/7e09b20660195c64378f1e0e3005e32f5d446386?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485150a41ac7ea3d8a02bfda0be8
144,"Yemayá","Mexican Institute Of Sound,Gaby Moreno",41,110,"latin alternative, mexican indie, mexican rock, guatemalan pop, latinx alternative, rock chapin","Pop, Latin, Rock","Yemayá",2020-06-26,03:59,73,52,2,3,79,0,0,-10,C Major,4,2020-08-06,1LNxaEths4h9zioJN4yjJ4,"Soy Sauce",8B,https://p.scdn.co/mp3-preview/9018efba6c9dbe94999a3dd33a5464150a006528?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485175b7c1e29e8f654c78eb8997
145,"VAULTS","BRONSON,ODESZA,Golden Features",0,124,"vapor twitch, chillwave, edm, indietronica, industrial pop","Rock, Electronic, Pop","HEART ATTACK / VAULTS",2020-04-28,04:04,65,96,4,87,16,0,20,-3,A Minor,4,2020-08-07,7DBi89fp9dzk2d2ij4Yo2x,"Ninja Tune",8A,,https://i.scdn.co/image/ab67616d00004851f0f7f7eb8dd94d96848f2993
146,"AEIOU","Wye Oak,Brooklyn Youth Chorus",0,91,"baltimore indie, chamber pop, american choir, contemporary choir","Classical, Rock, Pop","AEIOU",2020-07-07,04:57,61,48,88,41,25,0,10,-12,A Major,4,2020-08-10,3DfdycOWmEvE3StaotW2vN,"Merge Records",11B,,https://i.scdn.co/image/ab67616d0000485157e95f0b76caa4d4c39d0f19
147,"Wonder","Lomelda",0,78,"countrygaze, small room","Folk/Acoustic, Rock","Wonder",2020-07-09,02:11,51,50,14,3,69,0,0,-9,C♯/D♭ Major,3,2020-08-11,51kze9dPhittQFgS6kc2wb,"Double Double Whammy",3B,,https://i.scdn.co/image/ab67616d000048516abc3fcf685c47de24f2e916
148,"Never Come Down","THE NEVERLY BOYS",13,79,"","","Dark Side of Everything",2020-05-15,03:49,44,57,0,16,29,0,10,-6,C Major,4,2020-08-12,0DMrCBvRto7SZeXCbVC0Pm,"BMG Rights Management (US) LLC",8B,,https://i.scdn.co/image/ab67616d00004851ca9d60106f06b5a0daa42825
149,"Escape","Desire",18,123,"canadian electropop","Pop","Escape",2020-04-07,03:56,77,58,0,12,42,0,10,-6,D Major,4,2020-08-13,2igalp5wODO47wn62S5Hzi,"Italians Do It Better",10B,https://p.scdn.co/mp3-preview/9bc31c2d45f13d5fb46834f66a2c36f776009253?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485139862d5589006292aa5e4ab3
150,"Rush & Fever","Nation of Language",0,126,"brooklyn indie","Rock","Introduction, Presence",2020-05-22,04:00,63,74,0,38,67,0,10,-6,C Major,4,2020-08-14,46T4PH1zQJezwdxZP2gJ6t,"Nation of Language",8B,,https://i.scdn.co/image/ab67616d0000485115e2058f8c6f0698a3248c0c
151,"Fossilized","Postcards",1,204,"dreamgaze, lebanese indie","Rock, World/Traditional","Fossilized",2019-09-27,03:59,16,58,42,10,9,0,10,-7,C♯/D♭ Minor,4,2020-08-17,1ul72fxJAxHBFJuTBYZqwF,"T 3 records",12A,https://p.scdn.co/mp3-preview/f7043838de7f7a58b29a3b8d4509fe7c869c2049?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485145ccf6ea8443aa1e44af14d8
152,"Pa Que","Ana Tijoux,Pj Sin Suela",32,172,"chilean rock, latin alternative, latintronica, rap chileno, rap feminino chileno, rap latina, rap politico, puerto rican rock, reggae en espanol","Rock, Latin, Electronic","Pa Que",2020-07-17,03:47,55,81,9,0,87,20,20,-5,C♯/D♭ Major,4,2020-08-18,7hyiVcA9047wMnW1eV2qpt,"Victoria Producciones",3B,https://p.scdn.co/mp3-preview/7703ed6653dbdbcd8e9fc01359a20e2ed53f4946?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fff2e01633ca628cde9656a8
153,"Baptism","Blimes and Gab",14,83,"alternative r&b","R&B","Talk About It",2020-06-26,02:44,60,83,14,0,29,20,40,-5,G#/A♭ Major,4,2020-08-19,74lIg5A7RR2ecZAokCraJ0,"B.A.G. Enterprises, Inc",4B,https://p.scdn.co/mp3-preview/7012b3b049984d21f8d401b5e42d8f9e65233620?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485147e7d342f874d58e7ddee9c5
154,"Yellow Brick Road","Dylan Cartlidge",0,170,"uk alternative hip hop","Hip Hop","Yellow Brick Road",2020-04-17,03:44,67,82,3,0,62,20,10,-6,G Major,4,2020-08-20,6EECUMxRvAuPmkNVZQ9dQ9,"Glassnote Music LLC",9B,,https://i.scdn.co/image/ab67616d000048517250039853248aa3ac2232e4
155,"Still Phase","Candace",0,113,"american shoegaze, portland indie","Rock","Still Phase",2020-04-24,03:15,50,56,22,37,19,0,0,-9,F#/G♭ Major,4,2020-08-21,0pHV7Q0iIzJY8vhGrhzKgC,"Little Cloud",2B,,https://i.scdn.co/image/ab67616d00004851f570e8be40c25e133144493d
156,"Beautiful","박혜진 Park Hye Jin",24,122,"korean dream pop","Pop","How can I",2020-06-26,03:30,71,87,2,88,14,0,10,-10,D Major,4,2020-08-24,4G0B1apJSFg0iqDci4hZAT,"Ninja Tune",10B,https://p.scdn.co/mp3-preview/3a8e70147837258fe8bb78bf359f36ffac3ca171?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513aceceb2213ce55de5b0bcce
157,"Lilledes","Anna Kaneelina",9,123,"estonian indie","Pop","Anna Kaneelina",2019-02-19,03:46,39,14,96,3,14,0,10,-17,F#/G♭ Major,4,2020-08-25,7uVJxqR8KuS9j7kz4Nxanx,"Erik Lindström Music",2B,https://p.scdn.co/mp3-preview/b218428f3098607cf77f2d6a5484684c06f9101b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851130b2f89fdb2371a332098b4
158,"Unknown Melody","HÆLOS",0,114,"alternative dance","Rock","Unknown Melody",2020-06-26,03:59,74,64,16,3,75,0,0,-12,G#/A♭ Minor,4,2020-08-26,5q76DEBqodOrYQgRS7kp48,"SOLEAH Recordings",1A,,https://i.scdn.co/image/ab67616d00004851e845458f44dd14b96e3417d8
159,"Angels of Love","Pure X",0,109,"modern dream pop","Pop","Pure X",2020-05-01,02:34,36,55,0,0,45,0,0,-7,A Major,4,2020-08-27,5jY7D4DHQK2hLcfOpZRJz1,"Fire Talk",11B,,https://i.scdn.co/image/ab67616d0000485154c36f03101992054edbcb74
160,"Hogar","Eep",0,161,"","","Hogar",2020-06-26,02:42,24,81,0,15,23,0,10,-10,C Major,4,2020-08-31,0z4PtSc7A4iuc0KQepHQUn,"EEP",8B,https://p.scdn.co/mp3-preview/70c0838effdfc3bdafc6523de3773bbe2c3f9685?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511880b00b91d5b37ddcaac243
161,"Oceans","Tara",2,115,"","","Oceans",2020-04-14,05:07,48,84,1,80,15,0,20,-7,C Major,4,2020-09-01,4JvT5KTP4Xc18RRnxGdVLN,"Tara",8B,https://p.scdn.co/mp3-preview/54c99a9bf8cf2eb2ea7562128e940a46ee65ba77?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516481e24c2d64e9bc3f788b00
162,"Worry","Songhoy Blues",33,96,"malian blues","Blues","Worry",2020-06-17,03:05,35,83,4,0,85,0,20,-7,G Major,4,2020-09-02,1hAIPXpzfpBGsWGYTf69MM,"Transgressive",9B,https://p.scdn.co/mp3-preview/294528b08b133f55b951e286b4a6aea643de7946?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485156851c3e7912e54428f72392
163,"Even True Love","Widowspeak",0,121,"brooklyn indie, chillwave, countrygaze","Rock, Folk/Acoustic","Even True Love",2020-08-05,04:46,62,72,27,43,64,0,10,-6,D Major,4,2020-09-03,79PaJyGdIi8XN6d9tp2YlT,"Captured Tracks",10B,,https://i.scdn.co/image/ab67616d00004851772e7ce7067dfe97d782f3eb
164,"Take A Chance","Naked Giants",11,124,"seattle indie","Rock","Take A Chance",2020-06-11,02:41,89,44,21,0,91,10,60,-9,C Major,4,2020-09-04,1VrlpXfJBJOl1XTVpKv2Jx,"New West Records",8B,https://p.scdn.co/mp3-preview/ea301924ae3f983dad7bfef8e2f6ebddb9b76bb6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a9a22cdb5daaae9e2e0cab69
165,"Hurt","Arlo Parks",51,95,"indie pop, indie soul, uk contemporary r&b","Pop, R&B","Hurt",2020-08-18,03:36,68,38,72,0,70,0,10,-9,E Minor,4,2020-09-07,3OREiYBiC7wSpOLukQMDZR,"Transgressive",9A,https://p.scdn.co/mp3-preview/fa27442a257338bbee6fdd38ee99dfd1356b155c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a90dcb40199f4546c635d14e
166,"How Long?","Fantastic Negrito",33,72,"bay area indie, modern blues, modern blues rock","Rock, Blues","Have You Lost Your Mind yet?",2020-08-14,04:16,64,62,13,0,47,0,0,-7,F#/G♭ Minor,4,2020-09-08,6YWQvHKfyIQ2IltqM0Cesz,"Cooking Vinyl Limited",11A,https://p.scdn.co/mp3-preview/87ba9313d53c64a12913c846c216121f012e0b09?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485188ef56bd1cfdaeb2bb1fbd6a
167,"NO news on TV","Noga Erez,ROUSSO",24,77,"israeli hip hop, israeli indie, ","Hip Hop, Jazz","NO news on TV",2020-06-23,03:05,77,61,17,0,96,20,0,-8,B Major,4,2020-09-09,3Cd1ZqAtV6YcAWg4Ed0x0q,"City Slang",1B,https://p.scdn.co/mp3-preview/f180cf2ac347a2faf80b7751576235ddc976bb7d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485106aeb68e233d79737952b6de
168,"Na Kozonga","Jupiter & Okwess",8,95,"afro-funk","World/Traditional","Na Kozonga",2020-06-24,02:59,52,91,1,0,69,10,30,-7,A Major,4,2020-09-11,5xh5ORe5fVHjHx4QQkJpdb,"Zamora Label",11B,https://p.scdn.co/mp3-preview/d5009e98a6e96d92f516b4e7c26571a27bb706d6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851281959754e23a797296915cb
169,"Only Lonely","Rose City Band",28,184,"cascadia psych, neo-psychedelic","Hip Hop, Folk/Acoustic","Summerlong",2020-05-15,03:57,44,59,7,61,39,0,10,-8,G Major,4,2020-09-11,5ye1icZgCJZ2KwLZsQgiCm,"Thrill Jockey",9B,https://p.scdn.co/mp3-preview/a68834d1f836ed787892a2b31714c31f0450578d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851aef55d45e53b22e49bcb7ced
170,"Don't You See It?","Loraine James,Jonnine Standish",5,120,"deconstructed club, uk experimental electronic, ","Pop, Electronic","Don't You See It?",2020-08-27,05:32,81,45,55,3,29,20,40,-14,A#/B♭ Minor,4,2020-09-14,67ltXwmUnyJFeY81Tt6vxo,"Hyperdub",3A,https://p.scdn.co/mp3-preview/efda1cc3110f51da80ea57b0ccca45ce7599070b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517d18f206fbf7ddf482e1485f
171,"i dance in the kitchen","Æ MAK,Seba Safe",0,117,"art pop, irish pop, modern alternative pop, ","Pop","i dance in the kitchen",2020-08-28,02:44,80,39,81,0,52,50,20,-11,B Major,4,2020-09-15,7p7RwaQmTQkTRUTlFWaYSU,"Spinnup",1B,,https://i.scdn.co/image/ab67616d0000485177fce82795c8e79bda712251
172,"Cannibal (with Elizabeth Fraser)","Jónsi,Elizabeth Fraser",13,114,"icelandic pop, post-rock, ethereal wave, scottish indie","New age, Pop, Rock","Cannibal (with Elizabeth Fraser)",2020-08-14,04:57,25,34,63,0,17,0,40,-9,F#/G♭ Major,4,2020-09-16,2EFia2ZAfvrs40Nh6REzdI,"Krunk",2B,https://p.scdn.co/mp3-preview/f78d2ee980b31f63e55fd79460f145c1ab4a82d9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510a3b9d5a2658e935970256d6
173,"On","Kelly Lee Owens",0,131,"art pop, electra, electronica, spectra","Pop, Electronic","Inner Song",2020-08-28,05:57,69,40,4,72,37,0,0,-13,G Major,4,2020-09-17,4MaBP3PW8tLbvhY1UkA1fS,"Smalltown Supersound",9B,,https://i.scdn.co/image/ab67616d00004851b77946b57299698e3ef1a6ee
174,"Start Payin'","Lo Tom",16,120,"","","LP2",2020-09-11,03:32,57,87,0,34,35,0,20,-5,B Minor,4,2020-09-18,1lqcKVOk5uaUrwhal4IjrA,"Lo Tom",10A,https://p.scdn.co/mp3-preview/dea4fe6ba93f00aafaeeefdc63214459e3ef1b40?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851de2189e1261ffb173d6f32cc
175,"Fumar de día","Marilina Bertoldi",46,121,"argentine alternative rock, argentine indie, argentine rock","Rock, Latin","Prender un Fuego",2018-09-28,02:58,91,58,8,0,82,0,20,-8,A Minor,4,2020-09-21,482CWaKmMQzrYMQMEMYRtT,"Pelo Music S.A.",8A,https://p.scdn.co/mp3-preview/2f14652241f031adb8affdf861a667617b2d342e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e20a2e179a88fc2db417bb78
176,"Vamo a Dale Duro","Ghetto Kumbé",0,120,"latintronica","Electronic","Ghetto Kumbé",2020-07-31,03:48,73,72,10,19,35,10,10,-10,G Major,4,2020-09-22,3Phxseti7iXZvbUMFcxFvz,"ZZK Records",9B,,https://i.scdn.co/image/ab67616d000048510e7013481b3403c334572c0a
177,"Perdidos en Pantitlán","Los Blenders",16,180,"latin rock, mexican indie, mexican rock","Rock, Latin","Perdidos en Pantitlán",2020-08-28,02:32,35,96,0,17,51,0,40,-7,D Minor,4,2020-09-24,0Timp3zrA5PZg9qPoUCVfR,"Devil In The Woods",7A,https://p.scdn.co/mp3-preview/c73101736cbb3ad74ab15fb99d0fe2c37e97f067?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519217f1111458b9a025dfc79a
178,"Marcaperu","Yanna",10,146,"","","Marcaperu",2020-03-08,03:06,69,31,7,0,55,40,30,-15,D Major,4,2020-09-24,19PFdsoJOX0kw4KeIUOuna,"Yanna",10B,https://p.scdn.co/mp3-preview/bd1b659afed9352da4d296d1bc3d2dd5047a79df?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ae3aac42feed15c8ac203a92
179,"Guanaco","Terror/Cactus",10,180,"tropical alternativo","Latin","Confluencia",2020-07-03,03:31,71,45,56,45,88,10,0,-10,E Minor,4,2020-09-25,35dExnL0pl8rRBJfwrC7xG,"Terror/Cactus",9A,https://p.scdn.co/mp3-preview/18b9101768c6bf584e5f1ad5f3a1cedebec9f7a2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d93805c88bcc2ea425aa1bde
180,"Hours and Hours","Bully",0,182,"bubblegrunge, indie punk, modern power pop","Rock, Pop","SUGAREGG",2020-08-21,03:30,31,48,6,0,29,0,40,-6,A Major,4,2020-09-28,5UrwrF7XIXHAMulAkxIww1,"Sub Pop Records",11B,,https://i.scdn.co/image/ab67616d000048519f5c2c2f1a00f3f801ed7dc4
181,"I Love Only You","Smokescreens",0,110,"modern jangle pop","Pop","I Love Only You",2020-09-03,03:00,53,64,0,94,73,0,10,-4,D Major,4,2020-09-29,42jLSwMo1QRhiD29QqWgYt,"Slumberland Records",10B,,https://i.scdn.co/image/ab67616d0000485166d9a14eee8b5a71e4765c8c
182,"Faith","Sneaks",0,120,"dc indie","Rock","Happy Birthday",2020-08-21,02:37,71,81,2,0,52,0,10,-7,G Major,4,2020-09-30,0kw8U5bKF5lcoeJf5ixfuL,"Merge Records",9B,,https://i.scdn.co/image/ab67616d00004851d5ecaf4c3743abbca0ada59f
183,"Long in the Tooth","The Budos Band",0,99,"afrobeat, ethio-jazz, instrumental funk, instrumental soul","World/Traditional, Jazz, R&B","Long in the Tooth",2020-08-04,03:41,52,62,0,88,64,0,30,-8,C Major,4,2020-10-01,7ETH5mL8eLwdrx0cwQiLk9,"Daptone Records",8B,,https://i.scdn.co/image/ab67616d000048513df2e03374c27d6e25210ac9
184,"Do You See Us?","Left at London,Nobi",15,150,"transpop, ","Pop","Jenny Durkan, Resign in Disgrace",2020-07-20,02:39,69,54,4,0,92,20,0,-8,A#/B♭ Minor,4,2020-10-02,5EXgGFzAJp4PkoRADxLadb,"Left at London is Gay",3A,https://p.scdn.co/mp3-preview/0ee7ad75e9b9ec769589660b2833b2580b9f7213?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517878877a7150b07ba42b0c65
185,"I Woke Up With An Open Heart","Lost Horizons,Simon Raymonde,The Hempolics",3,105,"chamber psych, uk reggae","Folk/Acoustic, Electronic","I Woke Up With An Open Heart",2020-09-08,05:14,47,68,3,4,18,0,10,-7,C♯/D♭ Minor,4,2020-10-05,1Q365Dh0HFwU2yYo9oEVOd,"Bella Union",12A,https://p.scdn.co/mp3-preview/1eafd76efabc79fb6d87c6e6ab10054e94ec8526?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f547a1cc9712486fe9fe4af8
186,"Wasted","Tomberlin",0,93,"louisville indie, small room","Rock","Wasted",2020-08-18,02:29,77,56,42,10,71,0,10,-10,E Major,4,2020-10-06,01EZT06EIdnVOLl96Parta,"Saddle Creek",12B,,https://i.scdn.co/image/ab67616d00004851734b66e6d17875b514ac659a
187,"Video Game","Sufjan Stevens",0,130,"art pop, baroque pop, chamber pop, indie pop, indie rock, singer-songwriter","Pop, Rock, Folk/Acoustic","Video Game",2020-08-14,04:15,67,80,65,1,16,0,10,-8,A Minor,4,2020-10-07,4FFCuJWEx69r8Azm3RI3Cw,"Asthmatic Kitty",8A,,https://i.scdn.co/image/ab67616d0000485137dc10b7e4d1db458fe91224
188,"Falling Apart","Slow Pulp",0,146,"bubblegrunge, chicago indie, countrygaze, nu gaze","Rock, Folk/Acoustic","Falling Apart",2020-08-12,02:46,67,56,40,1,42,0,10,-8,B Major,4,2020-10-08,4pKNzf3s40YdmnSgWhybGc,"Winspear",1B,,https://i.scdn.co/image/ab67616d000048514e80c2b9dd1fcfe35c64e523
189,"Fishbowl","Warren Dunes",0,154,"","","Fishbowl",2020-09-25,02:51,25,66,5,34,38,0,10,-8,A Major,4,2020-10-09,0CkxgmPJiw1CcfVcsQelHy,"Big Wawa Records",11B,,https://i.scdn.co/image/ab67616d0000485135bbf274255fae98877b65cd
190,"Land Back","The Halluci Nation,Boogey the Beat,Northern Voice",31,104,"canadian indigenous hip hop, canadian indigenous music, escape room, ottawa rap","Hip Hop, Folk/Acoustic, Pop","Land Back",2020-02-28,03:23,73,91,0,57,58,0,0,-4,D Major,4,2020-10-12,1cLqn1TwvM8foMRgYg09VA,"Radicalized Records",10B,https://p.scdn.co/mp3-preview/12e22d05b72c58fcc9d9c5e84e59b7fe0fe93313?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cf348deb880a490bba046d63
191,"The Social (feat. pHoenix Pagliacci)","DJ Shub,pHoenix Pagliacci",6,99,"canadian indigenous hip hop, canadian indigenous music, ","Hip Hop, Folk/Acoustic","The Social",2020-07-24,05:58,65,85,2,0,49,40,20,-8,C♯/D♭ Major,4,2020-10-13,0vyO6gMlrzwGj860roZ8km,"Shub Music",3B,https://p.scdn.co/mp3-preview/f1f5ff99ac811d433b12a44983ef6a58748e1367?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f6bd2eb670c38708198edb1f
